S.No,DNAPass AS Name,Subject coverage,Weighted Score
286,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3756
287,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2742
288,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2862
289,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3684
290,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2307
291,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3188
292,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2391
293,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4348
294,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3333
295,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5592
296,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3249
297,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.506
298,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2319
299,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.2029
300,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1002
301,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2053
302,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6618
303,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.25
304,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2681
305,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3406
306,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5399
307,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3877
308,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3261
309,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1787
310,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1848
311,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2053
312,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4444
313,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3949
314,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5616
315,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4094
316,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6534
317,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5688
318,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3382
319,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3152
320,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6751
321,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3877
322,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5133
323,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.2911
324,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0882
325,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6522
326,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6232
327,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4674
328,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3768
329,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3623
330,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4553
331,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4493
332,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.308
333,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1449
334,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3249
335,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3007
336,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2101
337,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2536
338,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3925
339,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3877
340,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5254
341,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3297
342,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
343,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
344,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3937
345,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1981
346,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.407
347,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1316
348,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2911
349,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4143
350,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3949
351,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.215
352,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5797
353,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3285
354,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3345
355,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2258
356,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5
357,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6667
358,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6594
359,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6582
360,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5713
361,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4746
362,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6365
363,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6111
364,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.535
365,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6739
366,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.7935
367,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4239
368,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5072
369,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5797
370,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3478
371,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.587
372,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6425
373,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5616
374,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6401
375,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5652
376,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5362
